epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8511,2.30544,3.74727,1.20932,0.01902,0.84228,0.05058,0.02107,1.39621,3.45643,0.90301,0.0002,0.0002,0.0002
2,34.7547,1.45956,1.42448,0.89779,0.02129,0.94295,0.0764,0.0322,1.15237,3.09152,0.87156,0.000417228,0.000417228,0.000417228
3,40.7532,1.33245,1.16104,0.89234,0.02174,0.96309,0.28368,0.14591,1.11902,2.87413,0.86682,0.000631552,0.000631552,0.000631552
4,46.4329,1.13989,0.90974,0.85487,0.02129,0.94295,0.31575,0.18461,1.12162,2.89159,0.85719,0.000842972,0.000842972,0.000842972
5,51.4995,1.16197,0.87495,0.84943,0.02212,0.97987,0.49191,0.32302,1.01398,2.689,0.83009,0.00105149,0.00105149,0.00105149
6,57.009,1.07646,0.80591,0.84428,0.98358,0.60298,0.90482,0.59096,1.04108,1.90067,0.82997,0.0012571,0.0012571,0.0012571
7,62.5111,1.1551,0.82014,0.83758,0.95299,0.68028,0.93537,0.61497,0.95718,1.78546,0.83118,0.00145981,0.00145981,0.00145981
8,67.7569,1.02774,0.75546,0.8365,0.95333,0.95957,0.95559,0.72145,0.8409,0.97944,0.82983,0.00165961,0.00165961,0.00165961
9,72.9405,0.94462,0.7083,0.83874,0.95172,0.96309,0.95966,0.7486,0.80059,0.93481,0.83046,0.00185651,0.00185651,0.00185651
10,78.1294,0.95091,0.68951,0.84301,0.957,0.9709,0.96042,0.74548,0.83386,0.92252,0.83579,0.0018812,0.0018812,0.0018812
11,83.2408,1.06785,0.71113,0.84309,0.95195,0.98322,0.95554,0.60001,1.18783,0.91462,0.85606,0.001868,0.001868,0.001868
12,89.0753,1.11942,0.7297,0.83743,0.95736,0.9795,0.96311,0.77512,0.76595,0.7115,0.82444,0.0018548,0.0018548,0.0018548
13,94.3307,0.98992,0.67975,0.83266,0.96509,0.97315,0.96497,0.76591,0.7921,0.6418,0.83525,0.0018416,0.0018416,0.0018416
14,99.4045,0.9474,0.64383,0.82855,0.96612,0.97987,0.95887,0.76653,0.73448,0.60203,0.8272,0.0018284,0.0018284,0.0018284
