epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7387,1.54536,3.92687,1.1398,0.004,0.4,0.00297,0.00186,1.01072,3.73952,1.03076,8e-05,8e-05,8e-05
2,34.4893,1.15851,3.05801,0.91457,0.01,1,0.19711,0.11316,0.95732,3.26901,0.82971,0.000178218,0.000178218,0.000178218
3,37.1035,0.96615,1.63578,0.86356,0.01,1,0.87983,0.60709,0.77682,2.88764,0.79001,0.000274456,0.000274456,0.000274456
4,39.7254,0.85163,1.11136,0.86735,0.01,1,0.43655,0.35423,0.73368,2.93236,0.78938,0.000368714,0.000368714,0.000368714
5,42.1736,0.83184,1.02187,0.8549,0.01,1,0.02535,0.0211,0.6649,3.11998,0.78904,0.000460992,0.000460992,0.000460992
6,44.8917,0.86627,1.04353,0.88534,0.01,1,0.02607,0.02163,0.66047,3.08242,0.78868,0.00055129,0.00055129,0.00055129
7,48.2504,0.79144,0.84902,0.85707,0.01,1,0.13635,0.10084,0.74089,3.03852,0.81213,0.000639608,0.000639608,0.000639608
8,50.6089,0.81546,0.82347,0.8577,0.01,1,0.16609,0.09035,0.74399,3.07115,0.81855,0.000725946,0.000725946,0.000725946
9,53.2898,0.81134,0.84835,0.86947,0.01,1,0.23012,0.17719,0.72509,2.96705,0.81079,0.000810304,0.000810304,0.000810304
10,56.6637,0.76252,0.72891,0.84213,0.01,1,0.76758,0.59714,0.72992,2.76302,0.80968,0.000892682,0.000892682,0.000892682
11,59.1054,0.77761,0.74356,0.84597,0.01,1,0.96354,0.7305,0.77479,2.66007,0.82847,0.00097308,0.00097308,0.00097308
12,61.7923,0.7411,0.72546,0.83943,0.01,1,0.97748,0.76998,0.72101,2.54259,0.81799,0.0010515,0.0010515,0.0010515
13,64.5075,0.70571,0.70455,0.84196,0.41676,1,0.995,0.75607,0.72809,2.32701,0.82869,0.00112794,0.00112794,0.00112794
14,67.184,0.76951,0.69575,0.84967,1,0.61537,0.995,0.78395,0.71648,1.97088,0.82086,0.00120239,0.00120239,0.00120239
15,69.8292,0.76914,0.70065,0.83722,1,0.63768,0.995,0.76788,0.80412,2.06254,0.83782,0.00127487,0.00127487,0.00127487
16,72.366,0.75721,0.71456,0.84226,1,0.77956,0.995,0.81259,0.70668,1.88874,0.81284,0.00134537,0.00134537,0.00134537
17,74.9421,0.738,0.66893,0.84323,0.9984,1,0.995,0.81537,0.68564,1.51622,0.81878,0.00141389,0.00141389,0.00141389
18,77.5159,0.68864,0.64712,0.8368,1,0.99988,0.995,0.81407,0.71627,1.49772,0.83224,0.00148043,0.00148043,0.00148043
19,79.9663,0.6811,0.62897,0.84016,0.99616,1,0.995,0.79773,0.78874,1.4302,0.84796,0.00154498,0.00154498,0.00154498
20,82.2724,0.65871,0.61668,0.82899,0.99471,1,0.995,0.84512,0.66139,1.05521,0.82374,0.00160756,0.00160756,0.00160756
21,84.8047,0.68907,0.64024,0.83091,0.9963,1,0.995,0.85168,0.64315,0.92819,0.83703,0.001604,0.001604,0.001604
22,87.2583,0.64762,0.59936,0.82543,0.99444,1,0.995,0.84617,0.6628,0.87749,0.8335,0.0015842,0.0015842,0.0015842
23,89.5748,0.64453,0.62147,0.83567,0.99479,1,0.995,0.83375,0.66116,0.8891,0.83879,0.0015644,0.0015644,0.0015644
24,91.8843,0.65486,0.58667,0.82796,0.99829,1,0.995,0.83702,0.69518,0.69398,0.84834,0.0015446,0.0015446,0.0015446
25,94.2713,0.66793,0.58798,0.8334,0.99738,1,0.995,0.7969,0.74363,0.6909,0.88406,0.0015248,0.0015248,0.0015248
26,96.7908,0.70019,0.57148,0.82301,0.9981,1,0.995,0.79927,0.72026,0.68476,0.8551,0.001505,0.001505,0.001505
27,99.1442,0.68275,0.56928,0.83362,0.99843,1,0.995,0.83782,0.61995,0.67198,0.81797,0.0014852,0.0014852,0.0014852
